"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
33,91880,0,0.536,107.682,49,33
0,198093,0,0.347,200.025,87,0
52,184588,0,0.686,115.819,15,52
22,214160,0,0.441,137.574,83,21
20,157666,0,0.513,75.795,83,21
11,89760,1,0.406,79.191,43,12
13,62200,1,0.491,96.263,43,12
0,260480,1,0.828,122.981,38,0
47,299173,0,0.673,94.852,112,47
62,172866,0,0.547,118.208,107,62
23,188903,1,0.726,155.031,30,23
0,121160,0,0.674,129.802,3,39
78,121160,0,0.674,129.802,3,39
73,178304,0,0.771,127.008,26,73
60,238733,0,0.399,93.189,92,60
28,342426,0,0.714,91.742,96,28
49,149973,0,0.578,101.171,92,49
13,368388,0,0.77,146.005,55,13
50,170181,0,0.769,109.999,24,50
57,216000,0,0.574,175.2,105,57
41,300573,0,0.682,143.791,17,49.5
58,298266,0,0.643,143.813,56,49.5
54,219437,0,0.608,140.109,17,54
62,310706,0,0.692,102.999,82,62
80,224493,0,0.551,119.992,72,80
41,169900,0,0.896,129.875,36,41
40,190720,0,0.624,129.094,26,52.5
65,351573,0,0.639,126.143,26,52.5
45,243320,0,0.742,128.005,112,45
27,207517,0,0.485,120.05,85,27
33,236440,0,0.429,95.544,93,33
33,240360,0,0.259,106.906,64,33
20,346640,0,0.661,97.029,112,20
43,227503,1,0.641,90.019,84,43
44,520320,0,0.811,125.003,74,45.25
37,451200,0,0.804,125.004,74,45.25
48,497280,0,0.88,124.997,74,45.25
50,539520,0,0.88,125.017,74,45.25
50,508800,0,0.826,125.01,110,45.25
44,493440,0,0.729,125.005,74,45.25
48,518400,0,0.753,125.012,110,45.25
41,493440,0,0.807,125.019,74,45.25
59,179520,0,0.818,125.002,40,59
45,564480,0,0.8,125.004,74,45
23,129144,0,0.955,126.984,67,23
20,191466,0,0.519,150.476,61,20
60,199019,0,0.728,115.189,1,60
57,236680,0,0.508,75.057,86,57
1,249520,0,0.694,124.38,88,1
54,201827,0,0.843,127.036,22,54
42,143093,0,0.559,123.734,27,42
42,590666,0,0.422,139.312,80,42
0,153925,0,0.692,121.994,32,0
20,130173,0,0.236,70.488,99,20
39,219386,0,0.429,129.886,36,39
28,288226,0,0.389,164.292,46,28
53,218000,0,0.637,119.984,84,53
60,167832,0,0.71,143.019,16,60
62,200546,0,0.392,167.094,45,62
51,255661,0,0.604,124.982,45,51
0,123453,0,0.631,71.078,93,0
0,123453,0,0.631,71.078,93,0
0,130199,0,0.688,122.911,93,0
0,126146,0,0.682,141.003,93,0
56,230391,0,0.327,150.036,50,56
57,220306,0,0.615,146.06,1,57
0,173546,0,0.609,113.958,20,0
22,222080,0,0.273,154.527,76,37
52,244960,0,0.216,91.06,76,37
43,208080,0,0.143,51.762,5,43
0,143733,0,0.814,123.109,93,0
81,228146,1,0.15,170.527,73,73
65,291812,1,0.589,102.489,73,73
0,164466,0,0.477,150.072,58,0
31,186086,0,0.603,97.2,105,31
31,193206,0,0.626,92.218,105,31
51,230156,0,0.68,128.012,84,51
1,168466,1,0.803,95.008,68,1
1,168466,1,0.803,95.008,90,1
0,232013,0,0.602,95.038,90,0
44,171008,0,0.785,115.028,98,44
82,217866,0,0.498,145.867,21,82
2,197442,0,0.627,82.03,21,0.666666666666667
0,203122,0,0.708,112.027,81,0.666666666666667
0,197442,0,0.627,82.03,21,0.666666666666667
0,206696,0,0.741,134.032,21,0
23,266632,0,0.473,140.746,114,23
0,151387,0,0.683,109.991,91,15.4
0,151387,0,0.683,109.991,100,15.4
77,243360,0,0.382,140.059,103,15.4
0,217493,0,0.5,138.834,91,15.4
0,243057,0,0.503,77.321,103,15.4
43,260306,0,0.748,112.529,10,43
20,279323,0,0.6,122.011,111,20
67,222242,0,0.764,114.91,66,69.7142857142857
73,276707,0,0.422,128.921,66,69.7142857142857
63,223933,0,0.753,144.02,66,69.7142857142857
85,199053,0,0.746,114.044,81,69.7142857142857
66,196198,0,0.808,116.988,66,69.7142857142857
74,234177,0,0.633,142.991,66,69.7142857142857
60,235779,0,0.856,136.081,66,69.7142857142857
70,229773,0,0.645,119.947,66,70
19,251372,0,0.23,135.9,7,18.5
18,417025,0,0.497,154.991,7,18.5
54,122600,0,0.607,136.614,93,54
25,170386,0,0.527,105.687,93,25
0,176739,0,0.621,103.47,79,0
26,168421,1,0.904,120.072,42,26
28,258771,0,0.552,120.026,49,28
33,245250,0,0.488,119.963,49,33
57,225440,0,0.495,94.012,73,57
